а-агш	а-агш (абх.) Salalbana L. Уапшы псахъвакIахвхва\n1. ива белая;\n
хътыцIра	хъты́цIра\n1. неперех.\n1) испытывать, испытать, переносить, перенести (трудности, невзгоды);\n
хътIра	хътIра́\n1. перех. и неперех.\n1) в разн. знач. открывать, открыть, раскрывать, раскрыть что и без доп.;\nачумадан хътIра открыть чемоданакыт апны ткван хътIра открыть в ауле магазинайыззара хътIра открыть собраниеакнига хътIра раскрыть книгу;\nзхъа зхърымтIуа швындыкъвара загадка сундук, который не открываютотгадка нышвынтара могила\n2. в знач. сущ.\n1) открытие;\nнаука хътIра научное открытие
хътIы	хътIы́\n1.\n1) открытый, раскрытый;\nкнига хътраскрытая книга◊быжь хътлингв. гласный звук
хътIызлара	хътIы́злара\n1. неперех.\n1) быть открытым (раскрытым);\n
хътIыта	хътIы́та\n1. нареч.\n1) открыто;\nйхътIыта йхIвара сказать открыто
хъхвхвара	хъхвхвара́\n1. неперех.\n1) переваливаться, перевалиться (напр. через забор);\n
хъхгIара	хъхгIара́\n1.\n1) неперех. трепаться, обтрепаться, изнашиваться, износиться (о краях одежды);\n2) перех. перен. затуплять, затупить (неумело затачивая) что;\n
хъхьас	хъхьа́с (диалект: ащхъарауа)\n1.\n1) рубашка верхняя мужская;\n
хъхIва	хъхIва́\n1.\n1) гребень, гребешок;\n расческа, расчёска;\nахъабыжь дъану хъхIва гIатыуымхын посл. при плешивом не доставай гребешок
хъхIвара	хъхIвара́\n1. перех.\n1) перетаскивать, перетащить, перетягивать, перетянуть (напр. через забор) что;\n
хъхIвхIвага	хъхIвхIва́га\n1.\n1) с.-х. борона;\n
хъхIвхIвара	хъхIвхIвара́\n1. перех.\n1) боронить, заборонить что;\n
хъцалымхIв	хъца́лымх(диалект: ащхъарауа) ср. тж. шIыдзадза\n1.\n1) челюсть;\n2. в роли опр.\n1) челюстной;\nхъацлымххвырта челюстное ранение
хъцара	хъцара́\n1. перех.\n1) перегонять, перегнать кого-что через что;\nарахв ащхъа йхъцара перегнать скот через горы
хъцра	хъцра́\n1.\n1) отбиваться, отбиться, отламываться, отломиться, откалываться, отколоться, отскакивать, отскочить;\nачайник акIыкхъцытI у чайника отбился носик\n2) падать с головы (о головном уборе);\n3) перен. раскрываться, раскрыться, открываться, открыться;\nайщчыкь хъцытI ящик открылся\n4) перен. срываться, сорваться;\n выскакивать, выскочить;\nапробка ахъцытI пробка выскочила
хъцIара	хъцIара́\n1. перех.\n1) строить, построить (чаще – мост);\nадзы цххъцIара построить мост через реку◊аквтхъцIарапосадить наседку (на яйца)
хъцIыжвра	хъцIы́жвра\n1. неперех.\n1) отскакивать, отскочить, отлетать, отлететь (далеко);\nатоп хъцIыжвтI мяч отскочил далеко\n2) перен. перепрыгивать, перепрыгнуть через что;\n3) перен. проходить, пройти, покрывать, покрыть большое расстояние (за короткий срок);\n
хъчквпса	хъчквпса́\n1.\n1) накидка (на подушки);\n
хъчхъкъьа	хъчхъкъьа́\n1.\n1) наволочка;\n
хъчы	хъчы́\n1.\n1) подушка;\nамла рызкъ алапшы гьамам, ачва хъчы йгьазыпшгIум посл. голод не разбирает пищи, а сон не ищет подушки
хъчIва	хъчIва́\n1.\n1) обломанный;\n надломленный, отломленный;\n2) перен. обедневший;\n
хъчIвалра	хъчIва́лра\n1. неперех.\n1) становиться (стать) наседкой;\n садиться, сесть на яйца;\n
хъчIвара	хъчIвара́\n1.\n1) перех. обламывать, обломать что;\n надламывать, надломить что;\n отламывать, отломить что;\n2) перех. переламывать, переломить что;\n3) неперех. ломаться, сломаться, поломаться;\nажв црасыгачIвгIва ласы йхъчIвитI посл. у бодливой коровы рога быстро ломаются\n4) перех. перен. беднеть, обеднеть;\n
хъша	хъша́\n1.\n1) происхождение;\n2) потомство, наследники;\nауи йхъахв йара йгIайхъшаз йырдырхуаштI посл. его оценит потомство
хъшара	хъшара́\n1. неперех.\n1) вести своё происхождение от кого;\n происходить, произойти от кого;\nауи акъабардква дгIархъшатI он ведёт своё происхождение от кабардинцев\n2) претерпевать, претерпеть (неудобства, неустроенность и т. п.);\n
хъшарада	хъша́рада\n1.\n1) не имеющий потомства;\n бесплодный;\n
хъшарадара	хъша́радара\n1.\n1) отсутствие потомства;\n бесплодность;\n
хъшахъыцI	хъшахъы́цI\n1.\n1) производный;\nажва хъшахъыцI грам. производное слово
хъшахъыцIра	хъшахъы́цIра см. хъшара
хъшвал-шIшвал	хъшва́л-шIшвал\n1.\n1) отбросы, отходы;\n
хъшвал	хъшва́л\n1.\n1) остатки (от пищи и т. п.);\n объедки;\n
хъшвтIрайра	хъшвтIра́йра\n1. неперех.\n1) отскакивать, отскочить, отлетать, отлететь (далеко);\n2) перепрыгивать, перепрыгнуть, перескакивать, перескочить, перемахнуть через что;\n
хъшвылгIара	хъшвы́лгIара\n1. неперех.\n1) быть прихваченным морозом;\n промерзать, промерзнуть, промёрзнуть;\nадгьыл хъшвылгIатI земля промёрзла
хъщгIагIвы	хъщгIагIвы́\n1.\n1) убийца (многих);\n
хъщгIара	хъщгIара́\n1. перех.\n1) убивать, убить (многих);\n2) уничтожать, уничтожить (многих);\n3) забивать, забить, колоть, заколоть (многих животных);\n2. в знач. сущ.\n1) убийство;\n2) уничтожение;\n
хъщтIыхгIара	хъщтIы́хгIара\n1. перех.\n1) приподнимать, приподнять кого-что;\n
хъыб	хъы́б\n1.\n1) кровельный материал;\n2) кровля (чаще из камыша, соломы);\n
хъыбра	хъы́бра\n1. перех. и неперех.\n1) покрывать, покрыть крышей (дом, шалаш, и т. п.) и без доп.;\nатдзы къамышла йхъыбра покрыть дом камышом
хъыгьагъьара	хъы́гьагъьара\n1. перех.\n1) соскабливать, соскоблить что с чего;\n
хъыгIв-цIгIвы	хъыгIв-цIгIвы́\n1.\n1) постельные принадлежности;\n постель;\n
хъыгIвгIара	хъыгIвгIара́\n1. перех.\n1) исписывать, исписать (многое);\nтетрадкI шабгу хъыгIвгIара исписать целую тетрадь
хъыгIвзра	хъыгIвзра́\n1. неперех.\n1) переползать, переползти через что;\nащтанчалаба йхъыгIвзытI змея переползла через палку\n2) сползать, сползти, сваливаться, свалиться с кого-чего;\nауи атшы абгъа дхъыгIвзытI он свалился с лошади
хъыжвжвгIара	хъыжвжвгIара́\n1. неперех.\n1) заступаться, заступиться за кого;\n
хъыжгIара	хъыжгIара́\n1. перех.\n1) перекапывать, перекопать (всё, многое);\n
хъыжжгIара	хъыжжгIара́ см. хъыжгIара
хъыжжгIахра	хъыжжгIа́хра\n1. перех.\n1) перекапывать, перекопать всё заново;\n
хъыжьжьара	хъыжьжьара́\n1. неперех.\n1) отрезвляться, отрезвиться, протрезвляться, протрезвиться;\n отрезветь, протрезветь;\n2) устанавливаться, установиться (о погоде);\nамш хъыжьжьахтI установилась хорошая погода
хъыза	хъы́за\n1.\n1) одеяло (обычно ватное);\nухъыза уапшыта ущапрыгъвгъвапосл. посмотри на своё одеяло и сообразно [ему] протягивай ноги
хъызахъкъьа	хъызахъкъьа́\n1.\n1) верх одеяла (противоположный изнанке);\n
хъызацIкъьа	хъызацIкъьа́\n1.\n1) пододеяльник;\n
хъыкв	хъы́кв\n1.\n1) верхушка;\nацIла ахъыкв верхушка дерева\n2) гребень;\nахва ахъыкв гребень горы
хъыкъьара	хъы́къьара\n1. неперех.\n1) перебегать, перебежать что, через что;\nацххъыкъьара перебежать через мост\n2) переливаться, перелиться через край;\n бежать, убежать (о жидкости);\n
хъылагъь	хъы́лагъь\n1.\n1) наклон, скат;\n спуск;\n
хъылагъьыра	хъы́лагъьыра\n1.\n1) наклонность;\n
хъылагъьырта	хъы́лагъьырта\n1.\n1) место, откуда начинается наклон (скат, спуск);\n
хъылапса	хъы́лапса\n1.\n1) разбросанный, распыленный, распылённый, рассыпанный, рассеянный;\nшвъабгъь хъылапса разбросанные бумаги
хъылапсазлара	хъы́лапсазлара\n1. неперех.\n1) быть разбросанным (распылённым, рассеянным, рассыпанным);\n
хъылапсара	хъы́лапсара\n1. перех. и неперех.\n1) разбрасывать, разбросать, распылять, распылить, рассеивать, рассеять;\n рассыпать, рассыпать что и без доп.;\nачва хъылапсара разбросать сено
хъыларцIыжвра	хъы́ларцIыжвра\n1. перех.\n1) швырять, швырнуть кого-что;\n
хъылачвара	хъы́лачвара\n1. перех.\n1) расплескивать, расплёскивать, расплескать, разбрызгивать, разбрызгать что;\n
хъылпа	хъы́лпа\n1.\n1) головной убор;\n шапка;\n папаха;\nайха хъылпа шлем, каскахьапщ хъылпа женская шапочка, расшитая золотомрызна хъылпа женская шапочка, расшитая серебромчIашва хъылпа мерлушковая шапкааквыджьма зуаса зчвагуш йхъылпала дадыритI посл. волк по шапке знает, у кого можно овцу стянуть\n2. в роли опр.\n1) шапочный;\n
хъылпачпагIвы	хъылпачпагIвы́\n1.\n1) шапочник, шапочница;\n
хъылпачпарта	хъылпачпа́рта\n1.\n1) шапочная мастерская;\n
хъынхIвра	хъынхIвра́\n1. неперех.\n1) вращаться, вертеться;\nазаман чархта йхъынхIвитубальарыгътI - угIахьшватI посл. время вертится, как колесо, прозевал - отстал\n2) оборачиваться, обернуться, поворачиваться, повернуться;\nагъьмала хъынхIвра повернуться направо\n2. в знач. сущ.\n1) вращение;\n2) оборот, поворот;\n
хъынхIвы-шIынхIвра	хъынхIвы́-шIынхIвра\n1. неперех.\n1) крутиться-вертеться;\n
хъынхIвырта	хъынхIвы́рта\n1.\n1) место разворота (транспорта);\n
хъынхIвыхра	хъынхIвы́хра\n1. неперех.\n1) возвращаться, возвратиться, вернуться;\nакытла хъынхIвыхра возвратиться в аул
хъыпара	хъы́пара\n1. неперех.\n1) перепрыгивать, перепрыгнуть что, через что;\nагвагIвара хъыпара перепрыгнуть ров\n2) перешагивать, перешагнуть (через что-л. высокое);\nагвара хъыпара перешагнуть через плетень\n3) прыгать (в высоту);\n
хъыпарта	хъы́парта\n1.\n1) место для прыжков (в высоту);\n2) лаз (в плетне, заборе и т. п.);\n
хъыпссгIара	хъы́пссгIара\n1. неперех.\n1) перелетать, перелететь что, через что;\n2) пролетать, пролететь над кем-чем;\n
хъыпшшгIара	хъы́пшшгIара\n1. неперех.\n1) обсыхать, обсохнуть (сверху);\n2) обветриваться, обветриться (о лице, губах);\n
хъырадзара	хъы́радзара\n1. перех.\n1) цедить, процедить что;\n2) дать отстояться (жидкости);\n3) отливать, отлить (из одной посуды в другую) что, чего;\n
хъыржжра	хъыржжра́\n1. перех.\n1) сливать, слить что;\nадзы хъыржжра слить воду
хъыркIьра	хъыркIьра́ побуд. от хъкIьра\n1. перех.\n1) наклонять, наклонить, накренять, накренить что;\n
хъырпIлара	хъырпIлара́ побуд. от хъпIлара\n1. перех.\n1) рассыпать (что-л. нанизанное на нитку и т. п.);\nамхвква хъырпIлара рассыпать бусы\n2) рассыпать (наполнив верхом) что;\nанартыхв апщырхйарызначвата йхъырпIлара рассыпать кукурузу, наполнив ведро верхом
хъырсара	хъырсара́\n1. перех.\n1) срезать, срезать что;\n отрезать, отрезать (сверху) что;\nачIахъва агIвара хъырсара срезать корку хлебаасемычкхъаква хъырсара срезать шляпки подсолнуха
хъырсарта	хъырса́рта\n1.\n1) место среза, , место надреза, место отреза;\n срез;\n
хъыртшра	хъыртшра́ побуд. от хътшра\n1. перех.\n1) загибать, загнуть что;\nакъанджьаль хъыртшра загнуть жесть\n2) закатывать, закатать что;\nамыгъраква хъыртшра закатать рукаваайква атлапаква хъыртшра закатать штанину◊алачваква хъыртшра вывернуть веки
хъыртшырта	хъыртшы́рта\n1.\n1) линия сгиба;\n сгиб;\nатетрадь лист ахъыртшырта линия сгиба тетрадного листа
хъырффара	хъырффара́\n1. перех.\n1) стричь, обстричь кого-что;\nахъабра хъырффара стричь волосыанапIхква хъырффара стричь ногти
хъырцра	хъырцра́ побуд. от хъцра\n1. перех.\n1) сбивать, сбить что;\nащхъваква хъырцра сбить каблуки\n2) отбивать, отбить что;\nабашырба ахъа хъырцра отбить горлышко у бутылки\n3) выбивать, выбить (напр. пробку);\n4) отсекать, отсечь что;\n◊ухъа хъсырцыпя с тебя голову сниму!
хъырцIалга	хъырцIа́лга\n1.\n1) подкладыш (под наседку);\n
хъырчIвалра	хъырчIва́лра побуд. от хъчIвалра\n1. перех.\n1) посадить (наседку на яйца);\nакъварт хълырчIвалтIона посадила наседку [на яйца]
хъысра	хъы́сра\n1. неперех.\n1) перелезать, перелезть через что;\nагвара хъысра перелезть через ограду\n2) переходить, перейти (напр. через горы, границу);\n3) перешагивать, перешагнуть что, через что;\n4) перен. переболеть чем;\nасаби апIчйхъыстI ребёнок переболел корью
хъыф-цыф	хъыф-цы́ф\n1.\n1) грипп;\nхъыф-цыф зхьуа чмазагIвы больной гриппом\n2. в роли опр.\n1) гриппозный;\nхъыф-цыф хьыггриппозное заболевание
хъыфгIа-шIыфгIа	хъыфгIа-шIы́фгIа\n1.\n1) исклеванный, исклёванный, изгрызанный, обгрызанный;\n
хъыфгIа-шIыфгIара	хъыфгIа-шIы́фгIара\n1. перех.\n1) исклевать, обгрызть что;\n
хъыфгIара	хъы́фгIара\n1. перех.\n1) исклевать, склевать (всё);\n изгрызать, изгрызть что;\n
хъыхв	хъы́хв\n1.\n1) отруби;\nгвадз хъыхв пшеничные отруби\n2. в роли опр.\n1) отрубный;\nхъыхв фачIвы отрубный корм
хъыхра	хъы́хра\n1.\n1) перех. убирать, убрать урожай подсолнуха;\n2) неперех. заниматься (заняться) уборкой урожая подсолнуха;\n2. в знач. сущ.\n1) уборка урожая подсолнуха;\n2) увольнение;\n◊йчва йхъыхра а) содрать шкуру, взять дорогоб) оклеветатьв) избитьсурат хъыхра фотографировать
хъыхъвапигIара	хъы́хъвапигIара\n1. неперех.\n1) покрываться (покрыться) плесенью;\n плесневеть, заплесневеть;\n
хъыхIара	хъы́хIара\n1. неперех.\n1) издавать запах;\n пахнуть чем;\n
хъычв	хъы́чв\n1.\n1) гребень (у птиц);\nарыба хъычвпетушиный (петуший) гребень
хъычвра	хъы́чвра\n1. перех.\n1) срубать, срубить что;\n◊ахъа хъычвра снести голову
хъыччагIвы	хъыччагIвы́\n1.\n1) смешливый;\n веселый, весёлый;\n
хъыччара	хъы́ччара\n1. неперех.\n1) смеяться, хохотать;\n веселиться;\nшвабыжта хъыччара громко смеяться\n2. в знач. сущ.\n1) смех, хохот;\n веселье;\n
хъыччахъва	хъыччахъва́\n1.\n1) смехотворный, смешной;\nхъыччахъва турых смешной рассказауи дхъыччахъвапI он посмешище для всех\n2) перен. веселый, весёлый;\n
хъыччахъвата	хъыччахъва́та\n1. нареч.\n1) смешно, весело;\nхъыччахъвата йхIвара рассказывать смешно
хъычIвара	хъы́чIвара\n1. неперех.\n1) переливаться, перелиться через край;\n выливаться, вылиться (о жидкости);\n
хъыш	хъы́ш\n1.\n1) блондин, блондинка;\n
хъышв	хъы́шв\n1.\n1) окно;\nхъышв тыбгширокое окнохъышв лашв подслеповатое окношвгьи хъышвгьи гьлам, азна уаггIвнапI загадка нет ни окон, ни дверей, но полнёхонек людейотгадка наша огурец\n2. в роли опр.\n1) оконный;\nхъышв рама оконная рама
хъышвкъыц	хъышвкъы́ц\n1.\n1) коробка оконной рамы;\n
хъышвлацIагIв	хъышвлацIа́гIв\n1.\n1) стекольщик;\n
хъышвпрапса	хъышвпрапса́\n1.\n1) шторы, занавески;\nаххъышвпрапса апырапсара занавесить окно
хъышвцIахь	хъы́швцIахь\n1.\n1) подоконник;\n
хъышвчпагIв	хъы́швчпагIв\n1.\n1) столяр делающий оконные рамы;\n
хъышвыгъв	хъы́швыгъв\n1.\n1) ставня, ставни;\n
хъышдза	хъы́шдза\n1.\n1) разг. белобрысый;\n
хъышIахIвара	хъы́шIахIвара\n1. перех.\n1) повязывать, повязать, завязывать, завязать что;\nахъа бльатаквла йхъышIахIвара повязать голову платкомамачв хъышIахIвара завязать палец
хъыщтра	хъы́щтра побуд. от хъысра\n1. перех.\n1) переводить, перевести (в следующий класс и т. п.);\nапхьагдахъыщтра перевести ученика в следующий класс\n2) давать (дать) пройти (через перевал и т. п.) кому;\n пропускать, пропустить кого-что;\n
хы	хы́\n1.\n1) пуля;\n2. в роли опр.\n1) пулевой;\nххвырта пулевое ранение◊ахы йтышвтыз апш пссгIара лететь пулей, лететь как пуля
хыдж	хы́дж\n1.\n1) старость;\n дряхлость;\n2. в роли опр.\n1) старый, дряхлый;\n◊йхыдж днадзатI он состарился
хыджьра	хы́джьра\n1. перех.\n1) ссучивать, ссучить (пряжу, нитки);\n
хыйа	хы́йа\n1.\n1) невинный, правый;\nахыйа ища агIвыма йхахитI посл. за кровь невинного и чужой мстит
хыйазлара	хы́йазлара\n1. неперех.\n1) быть невинным (правым);\n
хыйара	хы́йара\n1.\n1) невинность, правота;\n
хынгIважва	хы́нгIважва\n1.\n1) числ. колич. класса вещей шестьдесят;\n
хынгIважвагIвы	хы́нгIважвагIвы\n1.\n1) числ. порядк. класса человека шестьдесят;\n
хынкIьал	хынкIьа́л\n1.\n1) лапша молочная;\n
хынла	хы́нла\n1. нареч.\n1) втрое, втройне;\n трижды;\nхынла йайхIапI втрое больше
хырдзы	хырдзы́\n1.\n1) ноздря, ноздри;\nйхырдзква гылитI у него ноздри раздуваются
хырца	хырца́\n1. мат.\n1) треугольник;\n2.\n1) клиновидный;\n
хырчIвы	хырчIвы́ ср. тж. кефир\n1.\n1) айран, молоко квашеное;\n простокваша;\n ряженка;\n кефир;\nхырчIвы ахIвара йцаз акIвпйдзахтI посл. пришёл просить кислое молоко, а чашку свою спрятал
хысра	хы́сра\n1. неперех.\n1) стрелять, выстрелить;\n2) перен. распространяться, распространиться молниеносно (о слухе, вести и т. п.);\n2. в знач. сущ.\n1) стрельба;\n
хысыгIв	хы́сыгср. тж. стрелок\n1.\n1) стрелок;\nхысыгбзидздза отличный стрелок\n2. в роли опр.\n1) стрелковый;\nхысыгвзвод стрелковый взвод
хысырта	хы́сырта\n1.\n1) тир;\n2) полигон;\nартиллерия хысырта артиллерийский полигон
хыхара	хы́хара\n1. неперех.\n1) прясть что;\nаласа хыхара прясть шерсть
хыхъвшв	хы́хъвшв\n1.\n1) порох;\n2. в роли опр.\n1) пороховой;\nхыхъвшв лгIва пороховой дым
хыц	хы́ц (диалект: ащхъарауа) ср. тж. хрихыц\n1.\n1) стрела;\nахыц аущтра пустить стрелу
хычI-мычI	хычI-мы́чI\n1.\n1) щепка;\nабна анпыркъуа хычI-мычI щардахитI погов. лес рубят - щепки летят
хышв	хы́шв\n1.\n1) числ. колич. класса вещей триста;\nсомхышв триста рублей
хышвыгIв	хы́швыгIв\n1.\n1) числ. колич. класса человека триста;\n
хышI	хы́шI\n1.\n1) с.-х. стерня;\n
хыщ-мыщ	хыщ-мы́щ\n1.\n1) акцент;\nхыщ-мыщта чважвара говорить с акцентом
хьанта	хьанта́ (диалект: ащхъарауа) ср. тж. хIатла\n1.\n1) тяжелый, тяжёлый;\nхIахъв хьанта тяжёлый камень\n2) грузный (о человеке, походке);\nныкъваща хьанта грузная походка\n3) перен. трудный, тяжкий;\n2.\n1) тяжесть;\n груз;\n2) перен. бремя, гнет, гнёт;\n
хьапщ	хьа́пщ\n1.\n1) золото;\nхьапщ змаз амла даган, тшыгIвра змаз дгIащаквхатI посл. имевший золото умер с голоду, а имевший урожай спасся\n2. в роли опр.\n1) золотой;\nхьапщ ъатлын золотое кольцохьапщ мъа пояс с золотым наборомхьапщ къама кинжал с золотой отделкой ножен
хьапщзлара	хьа́пщзлара\n1. неперех.\n1) быть золотым;\n2) перен. быть хорошим человеком;\n3) перен. быть очень красивым (красивой);\n быть красавцем (красавицей);\n
хьапщчва	хьапщчва́\n1.\n1) золотистый;\nхьапщчва хъабра золотистые волосы
хьара	хьара́\n1. неперех.\n1) рожать, родить;\n2) приносить приплод (о животных);\nажв хьатI корова отелиласьатшан хьатI кобыла ожеребиласьацгвы хьатI кошка окотиласьахIва хьатI свинья опоросиласьала хьатI сука ощенилась\n2. в знач. сущ.\n1) роды;\n
хьарта	хьа́рта\n1.\n1) место для родов;\n родильня;\nхьарта тдзы родильный дом
хьаца	хьаца́\n1.\n1) бук;\n2. в роли опр.\n1) буковый;\nхьаца махъвда буковая ветвь
хьзы	хьзы́\n1.\n1) имя, кличка;\nхьзы йыхьцIара дать имяйыхьыз хIвара назвать по имени, перечислить когозыхьыз аъата зхъата аъам загадка имя у него есть, а его самого нетотгадка жвгIванд небозыхьыз рхIвауа ашвхъымса дхъагылапI посл. чьё имя произносят, тот уже на пороге\n2) название;\nхьзы ахьцIара а) дать кличкуб) дать название◊йаъу хьыз грам. имя существительноечвапшыра хьыз грам. имя прилагательноепхьадзара хьыз грам. имя числительноейаъу хьыз цынхъвы грам. местоимение
хьмыхь	хьмы́хь\n1.\n1) закуска холодная;\n
хьпшгIвы	хьпшгIвы́\n1.\n1) присматривающий, ухаживающий за кем-чем;\n заботящийся о ком-чём;\nачымазагйхьпшгIвы ухаживающий за больным\n2) смотрящий вслед кому-чему;\n
хьпшгIвыдаъа	хьпшгIвы́даъа\n1.\n1) беспризорный, безнадзорный;\nхьпшгIвыдаъа саби беспризорный ребёнок
хьпшра	хьпшра́\n1. неперех.\n1) ухаживать, присматривать, присмотреть за кем-чем;\n заботиться, позаботиться о ком-чём;\n2) смотреть, посмотреть вслед кому-чему;\n2. в знач. сущ.\n1) уход, присмотр;\n
хьпшыдара	хьпшы́дара\n1.\n1) беспризорность, безнадзорность;\n
хьпшыдата	хьпшы́дата\n1. нареч.\n1) без надзора, без присмотра;\n
хьра	хьра́\n1. неперех.\n1) охлаждаться, охладиться, остывать, остыть;\nачай хьытI чай остыл\n2) перен. остывать, остыть, успокаиваться, успокоиться (о человеке);\n2. в знач. сущ.\n1) охлаждение, остывание;\n
хьта	хьта́\n1.\n1) холод;\n мороз;\n2.\n1) холодный;\n морозный;\nцIых хьта морозная ночьмыш хьта холодный деньгъын хьта холодная зима◊ахьта дащытI он замёрз, он промёрз букв. его убил мороз
хьтазлара	хьта́злара\n1. неперех.\n1) быть холодным (морозным);\n
хьтарца	хьтарца́\n1.\n1) примороженный, мерзлый, мёрзлый;\n2) обмороженный;\nщапIхьтарца обмороженные ноги
хьтарцара	хьтарцара́\n1. перех.\n1) губить, погубить (о морозе) что;\nахIврапшдзаква йхътарцатI мороз погубил цветы\n2) обмораживать, обморозить что;\nйщапIква ахьта йарцатI он обморозил ноги
хьтахара	хьтахара́\n1. неперех.\n1) становиться (стать) холодным, морозным;\n холодать, похолодать;\nамшква хьтахатI дни стали морозными
хьтаца	хьтаца́\n1.\n1) мерзлый, мёрзлый;\nкIартIоф хьтаца мёрзлый картофель
хьтацIа	хьтацIа́\n1.\n1) мерзляк;\n мерзлячка;\n
хьтащра	хьтащра́\n1. перех.\n1) мерзнуть, мёрзнуть, замерзать, замерзнуть, замёрзнуть;\n промерзать, промерзнуть, промёрзнуть;\n
хьчIвачIва	хьчIва́чIва\n1.\n1) холодный;\nмыш хьчIвачIва холодный деньпива хьчIвачIва холодное пивоадз хьчIвачIва хъкгIахъикIитIпосл. с холодной воды он снимает сметану (о бессмысленном занятии)
хьчIвачIвазлара	хьчIва́чIвазлара\n1. неперех.\n1) быть холодным;\nуахьчIва амш хьчIвачIвапI сегодня холодный день
хьчIвачIвахара	хьчIва́чIвахара\n1. неперех.\n1) становиться (стать) холодным;\n охлаждаться, охладиться;\n остывать, остыть;\nацIхква хьчIвачIвахитI ночи становятся холодными.
хьшвашва	хьшва́шва\n1.\n1) прохлада, холод;\n2.\n1) холодный, прохладный;\nхъвлапын хьшвашва прохладный вечер\n2) перен. холодный, неприветливый;\n
хьшвашвазлара	хьшва́швазлара\n1. неперех.\n1) быть прохладным, холодным;\n
хьшвашвата	хьшва́швата\n1. нареч.\n1) холодно, неприветливо;\nхьшвашвата снапгIайкIытI он холодно поздоровался со мной
хьшвашвахара	хьшва́швахара\n1. неперех.\n1) становиться (стать) прохладным;\n
хьы	хьы́\n1.\n1) парча;\n2. в роли опр.\n1) парчовый;\nхьы столквпса парчовая скатерть
хьыгIа	хьы́гIа\n1.\n1) боль;\nпыц хьыгзубная больхьыгзму йнапаквкIпI посл. каждый прикладывает руку к своему больному месту\n2) болезнь;\nхьыгчвгьа тяжёлая болезнь
хьыгIадаъа	хьы́гIадаъа\n1. нареч.\n1) без боли;\n безболезненно;\n
хьыдзара	хьы́дзара\n1. неперех.\n1) догонять, догнать кого-что;\nамашина ахьыдзара догнать машину\n2) дотягиваться, дотянуться (до чего-л., высоко расположенного);\nйара агIыла сыжвгIвахъа дахьынадзатI он еле дотянулся до моего плеча\n3) перен. добиваться, добиться (цели);\n
хьызлагIв	хьызла́гIв\n1.\n1) тезка, тёзка, тезки, тёзки;\n
хьызхьцIаша	хьызхьцIаша́\n1.\n1) подарок новорождённому (преподносимый лицом, дающим ребёнку имя);\n
хьый	хьы́й\n1.\n1) ювелир (мастер);\n
хьыквтIу	хьы́квтIу\n1.\n1) павлин;\n2. в роли опр.\n1) павлиний;\nхьыквтцIыхъва павлиний хвост
хьынхIалра	хьынхIа́лра\n1. неперех.\n1) повисать, повиснуть на ком-чём;\n
хьысра	хьы́сра\n1. неперех.\n1) касаться, прикасаться, прикоснуться к кому-чему;\n дотрагиваться, дотронуться до кого-чего;\nадзамгIва ахьысра прикоснуться к щекейара афачIвы дгьахьымстI он не дотронулся до еды\n2. в знач. сущ.\n1) касание, прикасание, дотрагивание;\n
хьыцIла	хьы́цIла\n1.\n1) клейстер;\n
хьыш	хьы́ш\n1.\n1) золотистый (обычно о волосах);\n
хI	хI*\n1.\n1) лично-местоименный глагольный аффикс 1л. мн. ч.;\n выступает в качестве показателя: а) субъекта одноличных непереходных глаголов (1-3 примеры);\n б) субъекта двухличних непереходных глаголов (4-й пример);\n в) субъекта двухличных переходных глаголов (5-6 примеры);\n г) косвенного объекта двухличных непереходных глаголов (7-й пример);\n д) косвенного объекта трёхличных переходных глаголов (8-9 примеры):)хIара хIынхитI мы работаемхIара хIчвагъвитI мы пашемхIара хIапхьитI мы учимсяхIара ауат хIрачважвитI мы говорим с нимихIара йхIчпитIмы делаем (то)хIара йхIхIвитIмы говорим (то)швгIахIыхIва вы попросите насйхIлырбатIона показала нам (то)йхIйырхIватIон заставил нас сказать (то)\n2) местоименно-притяжательный аффикс имён 1 л. мн. ч., напр.:хIара хIынхара наша работахIара хIтдзы наш домхIара хIкыт наш аул
хIа	хIа́ ср. тж. хIара\n1.\n1) мест. личн. кратк. ф. 1 л. мн. ч. мы;\nххIынхитI мы работаем
хIа-хIай	хIа-хIа́й\n1.\n1) межд. эй-эй;\n
хIабасабата	хIабаса́бата\n1. нареч.\n1) на мелкие части;\n вдребезги;\nагIвыга хIабасабата йалахъвашатI зеркало разбилось вдребезги◊агъа хIабасабата даларыхъвашара разбить врага наголову
хIабльа	хIа́бльа\n1.\n1) квартал (села, города);\n
хIабырчбыр	хIабырчбы́р\n1.\n1) тряпье, тряпьё, барахло;\n2) пренебр. барахло (о человеке);\n
хIагIа	хIагIа́\n1.\n1) высокий;\nтыдз хIагвысокий домгIвычIвгIвыс хIагвысокий человек\n2) высоко расположенный;\n возвышенный;\nшIыпхIагвозвышенное место
хIагIара	хIагIа́ра\n1.\n1) высота;\nабыхъв ахIагIара высота горы\n2) высокое место;\n возвышенность;\n
хIагIарта	хIагIа́рта\n1.\n1) возвышенность;\n
хIагIата	хIагIа́та\n1. нареч.\n1) высоко;\nахIауа хIагIата алалра подняться высоко в воздух
хIададжьада	хIададжьада́\n1.\n1) привидение, призрак;\n2) перен. страшилище;\n
хIаджв	хIа́джв\n1.\n1) скирда;\nамбатакI гIазтымцIуаш хIаджв таумыргылын посл. где не можешь скосить охапки, там не ставь скирды
